generation_id,created_at,cost_total,cost_web_search,cost_cache,cost_file_processing,byok_usage_inference,tokens_prompt,tokens_completion,tokens_reasoning,tokens_cached,model_permaslug,provider_name,variant,cancelled,streamed,user,finish_reason_raw,finish_reason_normalized,generation_time_ms,time_to_first_token_ms,app_name,api_key_name
gen-1772765509-GRMwkOsvoVB8JQMj0BRk,2026-03-06 02:51:49.197,0.001037,,-0.000183,,0,3238,2244,0,2039,google/gemini-2.5-flash-lite-preview-09-2025,Google,standard,false,true,,STOP,stop,6973,439,,TraveLM MAP
gen-1772765501-pfcyZhW3qwzZTuXZiXkS,2026-03-06 02:51:41.496,0.000971,,-0.000183,,0,3082,2118,0,2039,google/gemini-2.5-flash-lite-preview-09-2025,Google,standard,false,true,,STOP,stop,7639,459,,TraveLM MAP
gen-1772765496-d8JrHEf6fmCY3pHHDKL6,2026-03-06 02:51:36.219,0.000849,,,,0,3503,1247,0,0,google/gemini-2.5-flash-lite-preview-09-2025,Google,standard,false,true,,STOP,stop,4964,297,,TraveLM MAP
gen-1772765310-o44PPX8RlH8kkPhI1VcZ,2026-03-06 02:48:30.919,0.001204,,,,0,3404,2159,0,0,google/gemini-2.5-flash-lite-preview-09-2025,Google,standard,false,true,,STOP,stop,7567,457,,TraveLM MAP
gen-1772765304-EVOAnC1aiEUz289452In,2026-03-06 02:48:24.080,0.001195,,,,0,3072,2220,0,0,google/gemini-2.5-flash-lite-preview-09-2025,Google,standard,false,true,,STOP,stop,6766,614,,TraveLM MAP
gen-1772765299-rWYa0QgRIpxpkl1P5nVg,2026-03-06 02:48:19.500,0.000761,,,,0,3515,1025,0,0,google/gemini-2.5-flash-lite-preview-09-2025,Google,standard,false,true,,STOP,stop,4155,579,,TraveLM MAP
gen-1772644939-P1mRcJQBlTU6hGAypv90,2026-03-04 17:22:19.050,0.001179,,,,0,3426,2091,0,0,google/gemini-2.5-flash-lite-preview-09-2025,Google,standard,false,true,,STOP,stop,7372,310,,TraveLM MAP
gen-1772644933-izrK2tLgH4F6FGBYHRPu,2026-03-04 17:22:13.234,0.001036,,,,0,3081,1820,0,0,google/gemini-2.5-flash-lite-preview-09-2025,Google AI Studio,standard,false,true,,STOP,stop,5645,415,,TraveLM MAP
gen-1772644927-aqtrO3z1NV7EgbNixnOj,2026-03-04 17:22:07.090,0.000879,,,,0,3500,1323,0,0,google/gemini-2.5-flash-lite-preview-09-2025,Google,standard,false,true,,STOP,stop,5919,615,,TraveLM MAP
gen-1772633885-bY9Z8l3zN9rwumNZZhv4,2026-03-04 14:18:05.594,0.001042,,-0.000183,,0,3489,2192,0,2040,google/gemini-2.5-flash-lite-preview-09-2025,Google,standard,false,true,,STOP,stop,10835,1574,,TraveLM MAP
gen-1772633877-lojjPxcOIQ62QUw7GYxt,2026-03-04 14:17:57.351,0.001172,,,,0,3106,2155,0,0,google/gemini-2.5-flash-lite-preview-09-2025,Google,standard,false,true,,STOP,stop,8072,440,,TraveLM MAP
gen-1772633870-39jEe8xfKEOX5aBUGkmw,2026-03-04 14:17:50.144,0.00091,,,,0,3388,1429,0,0,google/gemini-2.5-flash-lite-preview-09-2025,Google,standard,false,true,,STOP,stop,6971,543,,TraveLM MAP
gen-1772610365-XlTR7QiBlyHBDxExqfZc,2026-03-04 07:46:05.499,0.000439,,-0.000183,,0,3916,579,0,2041,google/gemini-2.5-flash-lite-preview-09-2025,Google,standard,false,true,,STOP,stop,2877,434,,TraveLM MAP
gen-1772610357-djUPKKFbOnTUGxpyEAAB,2026-03-04 07:45:57.943,0.001102,,-0.000183,,0,3712,2286,0,2040,google/gemini-2.5-flash-lite-preview-09-2025,Google,standard,false,true,,STOP,stop,7337,443,,TraveLM MAP
gen-1772610351-0x9EmJwiAryQ0QkCEUAO,2026-03-04 07:45:51.356,0.001204,,,,0,3518,2131,0,0,google/gemini-2.5-flash-lite-preview-09-2025,Google,standard,false,true,,STOP,stop,6525,431,,TraveLM MAP
gen-1772610344-ZywQ5YlbGEU2hJRC269Q,2026-03-04 07:45:43.991,0.001312,,,,0,3364,2440,0,0,google/gemini-2.5-flash-lite-preview-09-2025,Google,standard,false,true,,STOP,stop,7270,461,,TraveLM MAP
gen-1772610335-mny7EVcaWfttCT0owCYg,2026-03-04 07:45:35.925,0.001302,,,,0,3163,2466,0,0,google/gemini-2.5-flash-lite-preview-09-2025,Google,standard,false,true,,STOP,stop,7868,512,,TraveLM MAP
gen-1772610328-NHHcYrPjeuvUu7qun4bL,2026-03-04 07:45:28.846,0.001052,,,,0,3040,1871,0,0,google/gemini-2.5-flash-lite-preview-09-2025,Google,standard,false,true,,STOP,stop,6917,401,,TraveLM MAP
gen-1772610322-26kXGH2owFUqxRmfpAwC,2026-03-04 07:45:22.469,0.000859,,,,0,3323,1318,0,0,google/gemini-2.5-flash-lite-preview-09-2025,Google,standard,false,true,,STOP,stop,5909,635,,TraveLM MAP
gen-1772609153-WOgioDsAHrUMVnMwZJ12,2026-03-04 07:25:53.044,0.001116,,,,0,3226,1985,0,0,google/gemini-2.5-flash-lite-preview-09-2025,Google,standard,false,true,,STOP,stop,6243,458,,TraveLM MAP
gen-1772609144-BQnfqnCNuVTyFgr7bPth,2026-03-04 07:25:44.918,0.001208,,,,0,3047,2259,0,0,google/gemini-2.5-flash-lite-preview-09-2025,Google,standard,false,true,,STOP,stop,8059,513,,TraveLM MAP
gen-1772609138-BvkE0VVha3NlvBXdJlxt,2026-03-04 07:25:38.292,0.00076,,,,0,3454,1037,0,0,google/gemini-2.5-flash-lite-preview-09-2025,Google,standard,false,true,,STOP,stop,6155,2214,,TraveLM MAP
